status,age_group,education,industry,location,ai_risk,years_of_experience,monthly_salary_inr,date_recorded
EMPLOYED,25_34,high school,Technology,Urban,,,40700.0,2023-01-01
EMPLOYED,18-24,Diploma,Fintech,rural,moderate,,17500.0,2023-01-02
EMPLOYED,25_34,High School,Retail,Delhi,Low,16.0,77600.0,2023-01-03
UNEMPLOYED,18-24,Masters,Retail,Urban,Low,30.0,100200.0,2023-01-04
,45-54,Diploma,Fintech,Hyderabad,low,9.0,19500.0,2023-01-05
Unemployed,25_34,PhD,Tech,Bangalore,HIGH,,54500.0,2023-01-06
employed,35 - 44,Master,,Mumbai,moderate,20.0,136500.0,2023-01-07
unemployed,35 - 44,Master,,rural,Low,28.0,25300.0,2023-01-08
employed,35 - 44,Ph.D,Retail,,Medium,0.0,103600.0,2023-01-09
unemployed,55+,Ph.D,Tech,,,3.0,126500.0,2023-01-10
Unemployed,45-54,Master,,Bangalore,High,,73400.0,2023-01-11
unemployed,45-54,High School,Technology,Delhi,HIGH,,27000.0,2023-01-12
Employed,18-24,PhD,Tech,rural,low,,121700.0,2023-01-14
,45-54,High School,Health,Urban,low,,132100.0,2023-01-15
UNEMPLOYED,18-24,Bachelors,Healthcare,Bangalore,moderate,18.0,28700.0,2023-01-16
Employed,25_34,high school,Retail,urban,low,,109300.0,2023-01-17
EMPLOYED,18-24,Ph.D,Tech,rural,,6.0,136000.0,2023-01-18
UNEMPLOYED,25-34,,Fintech,rural,Low,,62400.0,2023-01-19
employed,18 to 24,,Retail,Delhi,moderate,0.0,101100.0,2023-01-20
unemployed,35 - 44,High School,,Hyderabad,low,,108000.0,2023-01-21
Unemployed,18 to 24,,Health,Delhi,Medium,5.0,128000.0,2023-01-22
,35 - 44,Bachelors,Health,Hyderabad,High,5.0,125000.0,2023-01-23
Unemployed,25_34,Ph.D,Technology,Hyderabad,moderate,24.0,107700.0,2023-01-25
EMPLOYED,18-24,,Tech,rural,Medium,,59000.0,2023-01-27
Unemployed,18 to 24,,Healthcare,Delhi,Medium,12.0,132200.0,2023-01-28
unemployed,35 - 44,Bachelors,Education,suburban,,22.0,80800.0,2023-01-29
employed,18-24,Master,Health,Urban,Low,15.0,13300.0,2023-01-30
unemployed,18 to 24,,Health,,HIGH,,23500.0,2023-01-31
Unemployed,25_34,high school,Technology,Hyderabad,HIGH,,13100.0,2023-02-01
Employed,25_34,High School,Finance,Urban,High,2.0,134500.0,2023-02-02
UNEMPLOYED,45-54,PhD,,Urban,low,8.0,86800.0,2023-02-03
EMPLOYED,18-24,Masters,Finance,,Medium,,31200.0,2023-02-04
